date,pm2_5,pm10,co,no,no2,nh3,o3,so2,Station
2022-02-28,120.90625,150.19416666666666,1632.4920833333333,4.492083333333333,51.0525,20.20458333333333,61.29958333333334,45.72666666666667,Delhi
2022-03-01,255.1164,314.9808,3281.7836,28.2316,73.2612,26.4672,58.4412,56.2088,Delhi
2022-03-02,419.7695833333333,517.8254166666667,6101.051666666666,77.68041666666666,116.19875,45.67625,49.01041666666666,91.08625,Delhi
2022-03-03,386.47,481.5783333333334,4747.549583333333,56.494166666666665,109.08708333333334,25.59625,48.21291666666667,100.185,Delhi
2022-03-04,91.86375,110.08333333333331,1119.0183333333332,4.420416666666667,30.945,12.937083333333334,82.32791666666667,35.0375,Delhi
2022-03-05,80.72416666666668,96.34208333333332,1024.7216666666666,1.2425,27.450416666666666,14.332083333333332,93.98166666666668,29.335,Delhi
2022-03-06,319.4583333333333,382.1354166666667,3942.013333333334,21.311666666666664,112.3075,36.94833333333333,77.05875,64.87916666666666,Delhi
2022-03-07,593.1679166666667,718.3866666666667,6527.741666666666,71.79041666666667,137.805,44.80833333333334,52.98333333333333,102.22291666666666,Delhi
2022-03-08,233.2133333333333,290.2241666666667,2772.648333333333,17.74,66.21124999999999,27.50625,60.07916666666667,53.36625,Delhi
2022-03-09,120.18375,158.8375,1818.2995833333332,7.296666666666667,54.42958333333333,26.46125,56.25666666666667,44.53458333333333,Delhi
2022-03-10,106.38708333333334,134.6175,1333.4758333333332,1.825416666666667,40.145833333333336,21.886666666666667,81.34625,38.06666666666667,Delhi
2022-03-11,102.605,137.51666666666668,1438.0616666666667,4.755416666666666,42.67666666666667,20.775,71.92916666666666,38.40625,Delhi
2022-03-12,103.28000000000002,141.6525,1498.9766666666667,3.3504166666666664,43.44083333333333,20.55208333333333,68.37916666666666,34.18375,Delhi
2022-03-13,167.08666666666667,228.33666666666667,2347.907083333333,15.93,52.94458333333333,24.124583333333334,60.870000000000005,39.25958333333333,Delhi
2022-03-14,297.41541666666666,402.86375,4054.3879166666666,47.01083333333333,72.65166666666667,35.05833333333333,71.67416666666666,67.125,Delhi
2022-03-15,167.155,236.675,1860.3004166666667,10.2125,47.903333333333336,21.74416666666667,89.44625,43.91833333333333,Delhi
2022-03-16,155.565,208.19791666666663,1297.8720833333334,1.3770833333333334,34.54708333333333,20.24083333333333,102.75833333333333,38.91125,Delhi
2022-03-17,355.5525,439.84375,2982.9341666666664,13.6225,76.69958333333334,27.986666666666665,146.06708333333333,101.07958333333332,Delhi
2022-03-18,283.06041666666664,351.51,3253.023333333333,31.297083333333333,73.96499999999999,32.319583333333334,78.18541666666667,59.19791666666666,Delhi
2022-03-19,244.515,294.0725,2551.514583333333,11.624166666666666,62.60833333333333,24.984166666666667,96.51375,52.92916666666667,Delhi
2022-03-20,291.35041666666666,368.4254166666667,3117.56,15.174583333333333,65.59583333333333,32.82666666666667,90.68291666666666,60.66708333333333,Delhi
